Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",27-10-1961,16:30:00,Cosmos-2I (63S1),DS-1 1,Retired,108.84232047397124,Failure
NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",01-11-1961,15:32:00,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,450.0,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",05-11-1961,20:00:00,Thor DM-21 Agena-B,Discoverer 34,Retired,59.650769230769235,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",15-11-1961,21:23:00,Thor DM-21 Agena-B,Discoverer 35,Retired,59.650769230769235,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",15-11-1961,22:26:00,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,59.650769230769235,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",18-11-1961,8:12:00,Atlas-LV3 Agena-B,Ranger 2,Retired,108.84232047397124,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",22-11-1961,20:45:00,Atlas-LV3 Agena-B,Samos 4,Retired,108.84232047397124,Failure
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",29-11-1961,15:08:00,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,450.0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11-12-1961,9:39:00,Vostok,Zenit-2 nâ Â­1,Retired,108.84232047397124,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",12-12-1961,20:40:00,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,59.650769230769235,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",21-12-1961,12:30:00,Cosmos-2I (63S1),DS-1 2,Retired,108.84232047397124,Failure
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",22-12-1961,19:12:00,Atlas-LV3 Agena-B,Samos 5,Retired,108.84232047397124,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13-01-1962,21:41:00,Thor DM-21 Agena-B,Discoverer 37,Retired,59.650769230769235,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",24-01-1962,9:30:00,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,59.650769230769235,Failure
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",26-01-1962,20:30:00,Atlas-LV3 Agena-B,Ranger 3,Retired,108.84232047397124,Partial Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",08-02-1962,12:43:00,Thor DM-19 Delta,TIROS-4,Retired,59.650769230769235,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",20-02-1962,14:47:00,Atlas-D Mercury,Friendship 7 (MA-6),Retired,450.0,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",21-02-1962,18:44:00,Thor DM-21 Agena-B,FTV 2301,Retired,59.650769230769235,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",27-02-1962,19:39:00,Thor DM-21 Agena-B,Discoverer 38,Retired,59.650769230769235,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",07-03-1962,16:06:00,Thor DM-19 Delta,OSO-1,Retired,59.650769230769235,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",07-03-1962,22:10:00,Atlas-LV3 Agena-B,Samos 6,Retired,108.84232047397124,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",16-03-1962,11:59:00,Cosmos-2I (63S1),Cosmos 1,Retired,108.84232047397124,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",06-04-1962,17:15:00,Cosmos-2I (63S1),Cosmos 2,Retired,108.84232047397124,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",09-04-1962,15:04:00,Atlas-LV3 Agena-B,Midas 5,Retired,108.84232047397124,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18-04-1962,0:54:00,Thor DM-21 Agena-B,Discoverer 39,Retired,59.650769230769235,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",23-04-1962,20:50:00,Atlas-LV3 Agena-B,Ranger 4,Retired,108.84232047397124,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",24-04-1962,4:00:00,Cosmos-2I (63S1),Cosmos 3,Retired,108.84232047397124,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",26-04-1962,10:02:00,Vostok,Cosmos 4,Retired,108.84232047397124,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",26-04-1962,10:49:00,Scout X-2,Solrad 4B,Retired,450.0,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",26-04-1962,18:00:00,Thor DM-19 Delta,Ariel 1,Retired,59.650769230769235,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",26-04-1962,18:56:00,Atlas-LV3 Agena-B,Samos 7,Retired,108.84232047397124,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",29-04-1962,0:30:00,Thor DM-21 Agena-B,FTV 1125,Retired,59.650769230769235,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",08-05-1962,19:49:00,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,108.84232047397124,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",10-05-1962,12:06:00,Thor-DM21 Ablestar,ANNA 1A,Retired,59.650769230769235,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15-05-1962,19:36:00,Thor DM-21 Agena-B,FTV 1126,Retired,59.650769230769235,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",24-05-1962,12:45:00,Atlas-D Mercury,Aurora 7 (MA-7),Retired,450.0,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",28-05-1962,3:00:00,Cosmos-2I (63S1),Cosmos 5,Retired,108.84232047397124,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",30-05-1962,1:00:00,Thor DM-21 Agena-B,FTV 1128,Retired,59.650769230769235,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01-06-1962,9:37:00,Vostok-2,Zenit-2 nâ Â­3,Retired,108.84232047397124,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",02-06-1962,0:31:00,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,Retired,59.650769230769235,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",17-06-1962,18:14:00,Atlas-LV3 Agena-B,Samos 8,Retired,108.84232047397124,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18-06-1962,20:20:00,Thor DM-21 Agena-B,FTV 2312,Retired,59.650769230769235,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",19-06-1962,12:19:00,Thor DM-19 Delta,TIROS-5,Retired,59.650769230769235,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",23-06-1962,0:30:00,Thor DM-21 Agena-B,FTV 1129,Retired,59.650769230769235,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",28-06-1962,1:09:00,Thor DM-21 Agena-D,FTV 1151,Retired,59.650769230769235,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",30-06-1962,16:00:00,Cosmos-2I (63S1),Cosmos 6,Retired,108.84232047397124,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",10-07-1962,8:35:00,Thor DM-19 Delta,Telstar 1,Retired,59.650769230769235,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",18-07-1962,20:15:00,Atlas-LV3 Agena-B,Samos 9,Retired,108.84232047397124,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",21-07-1962,0:56:00,Thor DM-21 Agena-B,FTV 1130,Retired,59.650769230769235,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",22-07-1962,9:21:00,Atlas-LV3 Agena-B,Mariner 1,Retired,108.84232047397124,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",28-07-1962,0:30:00,Thor DM-21 Agena-B,FTV 1131,Retired,59.650769230769235,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",28-07-1962,9:18:00,Vostok-2,Cosmos 7,Retired,108.84232047397124,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",02-08-1962,0:17:00,Thor DM-21 Agena-D,FTV 1152,Retired,59.650769230769235,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",05-08-1962,17:59:00,Atlas-LV3 Agena-B,Samos 10,Retired,108.84232047397124,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11-08-1962,8:30:00,Vostok,Vostok 3,Retired,108.84232047397124,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12-08-1962,8:02:00,Vostok,Vostok 4,Retired,108.84232047397124,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",18-08-1962,15:00:00,Cosmos-2I (63S1),Cosmos 8,Retired,108.84232047397124,Success
US Air Force,"SLC-5, Vandenberg AFB, California, USA",23-08-1962,11:44:00,Scout X-2M,DSAP-1 F2 (Program 35),Retired,59.650769230769235,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",25-08-1962,2:56:00,Molniya,2MV-1 nâ Â­1 (Venera 2),Retired,108.84232047397124,Failure
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",27-08-1962,6:53:00,Atlas-LV3 Agena-B,Mariner 2,Retired,108.84232047397124,Success
US Air Force,"SLC-2W, Vandenberg AFB, California, USA",29-08-1962,1:00:00,Thor DM-21 Agena-D,FTV 1153,Retired,59.650769230769235,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01-09-1962,2:12:00,Molniya,2MV-1 nâ Â­2 (Venera 2),Retired,108.84232047397124,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",01-09-1962,20:39:00,Thor DM-21 Agena-B,FTV 1132,Retired,59.650769230769235,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12-09-1962,0:59:00,Molniya,2MV-2 nâ Â­1 (Venera 2),Retired,108.84232047397124,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",17-09-1962,23:46:00,Thor DM-21 Agena-B,FTV 1133 & ERS-2,Retired,59.650769230769235,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",18-09-1962,8:53:00,Thor DM-19 Delta,TIROS-6,Retired,59.650769230769235,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",27-09-1962,9:40:00,Vostok-2,Cosmos 9,Retired,108.84232047397124,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",29-09-1962,6:05:00,Thor DM-21 Agena-B,Alouette 1 & TAVE,Retired,59.650769230769235,Success
US Air Force,"SLC-2W, Vandenberg AFB, California, USA",29-09-1962,23:34:00,Thor DM-21 Agena-D,FTV 1154,Retired,59.650769230769235,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",02-10-1962,22:11:00,Delta A,Explorer 14,Retired,59.650769230769235,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",03-10-1962,9:13:00,Atlas-D Mercury,Sigma 7 (MA-8),Retired,450.0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",09-10-1962,18:35:00,Thor DM-21 Agena-B,FTV 1134,Retired,59.650769230769235,Success
